,channelName,subscribers,views,totalVideos,playlistId
0,Like Nastya,105000000,89434601177,785,UUJplp5SjeGSdVdwsfb9Q7lQ
1,Zee Music Company,94600000,56064499429,8137,UUFFbwnve3yF62-tVXkTyHqg
2,SET India,155000000,144213857139,110776,UUpEhnqL0y41EpW2TvWAHD7Q
3,Vlad and Niki,96600000,75381780015,550,UUvlE5gTbOvjiolFlEm-c_Ow
4,WWE,94600000,75841481714,68368,UUJ5v_MCY6GNUBTO8-D3XoAg
5,PewDiePie,111000000,28982430478,4709,UU-lHJZR3Gqxm24_Vd_AJ5Yw
6,✿ Kids Diana Show,110000000,91067528445,1087,UUk8GzjMOrta8yxDcKfylJYw
7,Cocomelon - Nursery Rhymes,158000000,158851710425,900,UUbCmjCuTUZos6Inko4u57UQ
8,T-Series,241000000,222146985425,19567,UUq-Fj5jknLsUf-MWSy4_brA
9,MrBeast,149000000,25418760929,741,UUX6OQ3DkcsbYNE6H8uQQuVA
